"Voter, Affiliation",ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM
"Zach Harper, The Athletic","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Donovan Clingan, Portland","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Kurt Helin, NBCSports.com","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Alex Sarr, Washington"
"James Herbert, CBSSports.com","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Alex Sarr, Washington"
"Kyle Hightower, Associated Press","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Bub Carrington, Washington","Donovan Clingan, Portland","Isaiah Collier, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Adam Himmelsbach, Boston Globe","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Ronald Holland II, Detroit","Yves Missi, New Orleans","Alex Sarr, Washington"
"Kelly Iko, The Athletic","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Frank Isola, Sirius Radio","Stephon Castle, San Antonio","Donovan Clingan, Portland","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Justin Edwards, Philadelphia","Kyle Filipowski, Utah","Yves Missi, New Orleans","Alex Sarr, Washington","Kel'el Ware, Miami"
"Richard Jefferson, ESPN/ABC","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Isaiah Collier, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Ernie Johnson, WarnerMedia","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Isaiah Collier, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Fred Katz, The Athletic","Stephon Castle, San Antonio","Zach Edey, Memphis","Yves Missi, New Orleans","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Ronald Holland II, Detroit","Alex Sarr, Washington","Kel'el Ware, Miami"
"Marc Kestecher, ESPN Radio","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Donovan Clingan, Portland","Isaiah Collier, Utah","Quinten Post, Golden State","Alex Sarr, Washington","Kel'el Ware, Miami"
"Eric Koreen, The Athletic","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Alex Sarr, Washington"
"Andy Larsen, Salt Lake Tribune","Stephon Castle, San Antonio","Donovan Clingan, Portland","Zach Edey, Memphis","Kel'el Ware, Miami","Jaylen Wells, Memphis","Isaiah Collier, Utah","Kyle Filipowski, Utah","Quinten Post, Golden State","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
"Adam Lefkoe, WarnerMedia","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Isaiah Collier, Utah","Zach Edey, Memphis","Ronald Holland II, Detroit"
"Tim Legler, ESPN/ABC","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Isaiah Collier, Utah","Yves Missi, New Orleans","Alex Sarr, Washington"
"Brian Lewis, New York Post","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
