"Voter, Affiliation",All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team
"Zach Harper, The Athletic","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","OG Anunoby, New York","Toumani Camara, Portland","Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers"
"Kurt Helin, NBCSports.com","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"James Herbert, CBSSports.com","Dyson Daniels, Atlanta","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Kyle Hightower, Associated Press","Dyson Daniels, Atlanta","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Adam Himmelsbach, Boston Globe","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Jaren Jackson Jr., Memphis","Derrick White, Boston","Jalen Williams, Oklahoma City"
"Kelly Iko, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Jaden McDaniels, Minnesota","Jalen Williams, Oklahoma City"
"Frank Isola, Sirius Radio","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Giannis Antetokounmpo, Milwaukee","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Derrick White, Boston","Jalen Williams, Oklahoma City"
"Richard Jefferson, ESPN/ABC","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Draymond Green, Golden State","Evan Mobley, Cleveland","OG Anunoby, New York","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Ernie Johnson, WarnerMedia","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Dyson Daniels, Atlanta","Derrick White, Boston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Fred Katz, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Draymond Green, Golden State","Ivica Zubac, LA Clippers"
